"","category","Name","Location","lat","lon","Accessible","Phone","IceSkating_Type","Num_of_Fields","Num_of_Courts","Size","RunningTracks_Type"
"36","basketball","Drew Playground","Fulton Ave. & E 169 St.","40.8334","-73.9036","CLOSED",NA,NA,NA,NA,NA,NA
"37","basketball","Dunbar Playground","E 161 St., Trinity Ave., E 163 St. and Cauldwell Ave.","40.8233","-73.9064","CLOSED",NA,NA,NA,NA,NA,NA
"38","basketball","Eastchester Playground","Adee & Tenbroeck Aves.","40.8698","-73.8531","CLOSED",NA,NA,NA,NA,NA,NA
"39","basketball","Edenwald Playground","Schieffelin Ave. & E 229 St.","40.8841","-73.8457","CLOSED",NA,NA,NA,NA,NA,NA
"40","basketball","Ferry Point Park","Corner of Balcom Avenue and Dewey Avenue","40.8157","-73.8298","OPEN",NA,NA,NA,NA,NA,NA
"41","basketball","Florence Colucci Playground","Wilkinson & Mayflower Aves.","40.852","-73.8343","CLOSED",NA,NA,NA,NA,NA,NA
"42","basketball","Flynn Playground","Brook Ave. & E 157 St.","40.8212","-73.9121","CLOSED",NA,NA,NA,NA,NA,NA
"43","basketball","Fordham Landing Playground","Landing Rd., Just off Fordam Rd.","40.8637","-73.9101","CLOSED",NA,NA,NA,NA,NA,NA
"44","basketball","Fort #4 Playground","Strong St. & Reservoir Ave.","40.8745","-73.9007","CLOSED",NA,NA,NA,NA,NA,NA
"45","basketball","Fort Independence Playground","Sedgwick Ave. & Stevenson Pl.","40.8819","-73.895","CLOSED",NA,NA,NA,NA,NA,NA
"46","basketball","Fox Playground","S/E Corner Fox St. & E 156 St.","40.8147","-73.8987","CLOSED",NA,NA,NA,NA,NA,NA
"47","basketball","Franz Sigel Park","E 153 St. & Grand Concourse","40.821","-73.9264","OPEN",NA,NA,NA,NA,NA,NA
"48","basketball","Goble Playground","Macombs Pl. & Globel Rd","40.8437","-73.9171","CLOSED",NA,NA,NA,NA,NA,NA
"49","basketball","Gouverneur Morris Playground","3 Ave., Saint Paul's Pl. and Washington Ave.","40.8355","-73.9035","CLOSED",NA,NA,NA,NA,NA,NA
"50","basketball","Grove Hill Playground","Eagle Ave. & E 158 St.","40.8197","-73.9091","CLOSED",NA,NA,NA,NA,NA,NA
"51","basketball","Gun Hill Playground","Holland Ave. & Magenta St.","40.8747","-73.8656","OPEN",NA,NA,NA,NA,NA,NA
"52","basketball","Haffen Park","Ely & Burke Ave.","40.8735","-73.8398","CLOSED",NA,NA,NA,NA,NA,NA
"53","basketball","Harding Park","Bolton Ave. between O'Brien and Cornell Aves.","40.8102","-73.8567","CLOSED",NA,NA,NA,NA,NA,NA
"54","basketball","Havemeyer","N/S Cross Bronx Expwy., Havemeyer Ave. and Watson Ave.","40.83","-73.8476","CLOSED",NA,NA,NA,NA,NA,NA
"55","basketball","Haviland Playground","Pugsley, Haviland, and Watson Aves.","40.8289","-73.8589","CLOSED",NA,NA,NA,NA,NA,NA
"56","basketball","Henry Hudson Park","Independence & W 227 St.","40.8813","-73.9202","CLOSED",NA,NA,NA,NA,NA,NA
"57","basketball","I Am Park","147 St. & Jackson Ave.","40.811","-73.9101","CLOSED",NA,NA,NA,NA,NA,NA
"58","basketball","James Lyons Square Playground","Aldus St. & Bryant Ave.","40.8229","-73.8882","CLOSED",NA,NA,NA,NA,NA,NA
"59","basketball","Richman (Echo) Park","E 178 St. & Upper Level","40.8466","-73.7865","CLOSED",NA,NA,NA,NA,NA,NA
"60","basketball","Kossuth Playground","Moshulu Pkwy N & Kossuth Ave.","40.8776","-73.8827","CLOSED",NA,NA,NA,NA,NA,NA
"61","basketball","Loreto Playground","Morris Park, Tomlinson, Van Nest and Haight Aves.","40.849","-73.8518","CLOSED",NA,NA,NA,NA,NA,NA
"62","basketball","Lozada Playground","Willis Ave. & E 135 St.","40.8078","-73.9247","CLOSED",NA,NA,NA,NA,NA,NA
"63","basketball","Macombs","E 158th St. & Ruppert Plaza","40.8279","-73.9287","OPEN",NA,NA,NA,NA,NA,NA
"64","basketball","Magenta Playground","Olinville Ave. & Rosewood St.","40.8738","-73.8678","CLOSED",NA,NA,NA,NA,NA,NA
"65","basketball","Marble Hill Playground","Marble Hill Ave. between W 228 and W 230 Sts.","40.8775","-73.9076","CLOSED",NA,NA,NA,NA,NA,NA
"66","basketball","Matthews-Muliner Playground","Matthews & Muliner Aves.","40.8467","-73.8613","CLOSED",NA,NA,NA,NA,NA,NA
"67","basketball","Mazzei Playground","Mace Ave. & Williamsbridge Rd.","40.8625","-73.8585","CLOSED",NA,NA,NA,NA,NA,NA
"68","basketball","Merriam Playground (lower)","W 168 St., Merriam Ave., Ogden Ave. and University Ave.","40.8388","-73.9266","CLOSED",NA,NA,NA,NA,NA,NA
"69","basketball","Merriam Playground (upper)","W 168 St., Merriam Ave., Ogden Ave. and University Ave.","40.8408","-73.9269","CLOSED",NA,NA,NA,NA,NA,NA
"70","basketball","Millbrook Playground","E 135 St. & Cypress Ave.","40.8042","-73.9162","CLOSED",NA,NA,NA,NA,NA,NA
"71","basketball","Morgan Playground","E 168 St., Park Ave. and Washington Ave.","40.8325","-73.9074","CLOSED",NA,NA,NA,NA,NA,NA
"72","basketball","Morton Playground","Morton Pl. & University Ave.","40.8515","-73.9141","CLOSED",NA,NA,NA,NA,NA,NA
"73","basketball","Mott Playground","E 166 St. & Morris Ave.","40.8314","-73.9146","CLOSED",NA,NA,NA,NA,NA,NA
"74","basketball","Mount Hope Playground","E. 177 St. & Walton Ave.","40.8505","-73.9094","CLOSED",NA,NA,NA,NA,NA,NA
"75","basketball","Mullaly Park","E 164 St. & River Ave.","40.8317","-73.925","CLOSED",NA,NA,NA,NA,NA,NA
"76","basketball","Nelson Playground","W 166 St. & Nelson Ave.","40.8347","-73.9269","CLOSED",NA,NA,NA,NA,NA,NA
"77","basketball","Noble Playground","Noble & Bronx River Aves.","40.8369","-73.8726","CLOSED",NA,NA,NA,NA,NA,NA
"78","basketball","Orchard Beach","Bruckner Blvd., Eastchester Bay, Hutchinson River and LI Sound","40.8688","73.7922","CLOSED",NA,NA,NA,NA,NA,NA
"79","basketball","P.O. Hillario Serrano Playground","Olmstead & Castle Hill Aves.","40.8237","-73.8505","CLOSED",NA,NA,NA,NA,NA,NA
"80","basketball","Parker Playground","Castle Hill Ave. & Parker St.","40.8392","-73.853","CLOSED",NA,NA,NA,NA,NA,NA
"81","basketball","Parkside Playground","Arnow Ave. & Olinville Ave.","40.8682","-73.868","CLOSED",NA,NA,NA,NA,NA,NA
"82","basketball","Patterson Playground","Morris & College Aves.","40.816","-73.9216","CLOSED",NA,NA,NA,NA,NA,NA
"83","basketball","Pelham Bay Playground","Middletown Road, off Bruckner Blvd.","40.8483","-73.8252","CLOSED",NA,NA,NA,NA,NA,NA
"84","basketball","Prospect Playground","Clinton Ave. & E 176 St.","40.8432","-73.8906","CLOSED",NA,NA,NA,NA,NA,NA
"85","basketball","PS 21 Playground/Rienzi Playground","E 225 St. & White Plains Rd.","40.8879","-73.8592","CLOSED",NA,NA,NA,NA,NA,NA
"86","basketball","PS 48 Playground/Hunts Point Playground","Faile St. & Hunts Point Ave.","40.8225","-73.819","CLOSED",NA,NA,NA,NA,NA,NA
"87","basketball","Randall Playground","Randall & Castle Hill Aves.","40.8193","-73.8494","CLOSED",NA,NA,NA,NA,NA,NA
"88","basketball","Riverdale Playground","W 237 St. & Independence Ave.","40.8883","-73.9152","CLOSED",NA,NA,NA,NA,NA,NA
"89","basketball","Saw Mill Playground","Brook Avenue and East 140 Street","40.8088","-73.9193","CLOSED",NA,NA,NA,NA,NA,NA
"90","basketball","Sedgwick Playground","Undercliff Ave. & Cross Bronx Expwy.","40.8455","-73.923","CLOSED",NA,NA,NA,NA,NA,NA
"91","basketball","Seton Park","W 235 St. & Douglas Ave.","40.8864","-73.9171","CLOSED",NA,NA,NA,NA,NA,NA
"92","basketball","Slattery Playground","Ryer & Valentine Aves.","40.8574","-73.8988","CLOSED",NA,NA,NA,NA,NA,NA
"93","basketball","Sound View Park","Bronx River & Lafayette Aves.","40.8143","-73.8655","OPEN",NA,NA,NA,NA,NA,NA
"94","basketball","Space-Time Playground","Lafayette & Bolton Aves.","40.8225","-73.8598","CLOSED",NA,NA,NA,NA,NA,NA
"95","basketball","Spuyten Duyvil Playground","W 236 St. & Douglas Ave.","40.8871","-73.9156","CLOSED",NA,NA,NA,NA,NA,NA
"96","basketball","St. James Park","E 193 St. & Jerome Ave.","40.8658","-73.8972","OPEN",NA,NA,NA,NA,NA,NA
"97","basketball","St. Mary's Playground East","Jackson Ave. & St. Mary's St.","40.8125","-73.9138","CLOSED",NA,NA,NA,NA,NA,NA
"98","basketball","St. Mary's Playground West","Saint Ann's Ave. & E 147 St.","40.8102","-73.9105","CLOSED",NA,NA,NA,NA,NA,NA
"99","basketball","Stars & Stripes Playground","Crawford & Baychester Aves.","40.8857","-73.8396","CLOSED",NA,NA,NA,NA,NA,NA
"100","basketball","Stebbins Playground","E 165 St. & Stebbins Ave.","40.8226","-73.8983","CLOSED",NA,NA,NA,NA,NA,NA
"101","basketball","Story Playground","Theriot & Story Aves.","40.8229","-73.8631","CLOSED",NA,NA,NA,NA,NA,NA
"102","basketball","The Pearly Gates Playground","Tratman & Saint Peter's Aves.","40.8659","-73.8503","CLOSED",NA,NA,NA,NA,NA,NA
"103","basketball","Tiffany Playground","Fox, Tiffany & E 167 Sts.","40.8249","-73.8944","CLOSED",NA,NA,NA,NA,NA,NA
"104","basketball","Van Cortlandt Stadium","Van Cortlandt Park South & Gouverneur Ave.","40.8853","-73.891","CLOSED",NA,NA,NA,NA,NA,NA
"105","basketball","Wakefield Playground","Carpenter Ave. & E 239 St.","40.9018","-73.8543","CLOSED",NA,NA,NA,NA,NA,NA
"106","basketball","Waring Playground","Waring Ave. & Bronx Pk E.","40.8602","-73.8715","CLOSED",NA,NA,NA,NA,NA,NA
"107","basketball","Watson Gleason Playground","Watson & Rosedale Aves.","40.8281","-73.8689","CLOSED",NA,NA,NA,NA,NA,NA
"108","basketball","Webster Playground","E 188 St. & Webster Ave.","40.8594","-73.8927","CLOSED",NA,NA,NA,NA,NA,NA
"109","basketball","Williamsbridge Oval","Van Cortlandt Ave. E, Bainbridge Ave. and Reservoir Oval","40.8768","-73.8776","CLOSED",NA,NA,NA,NA,NA,NA
"110","basketball","Willis Playground","Willis Ave. & E 141 St.","40.8107","-73.9236","CLOSED",NA,NA,NA,NA,NA,NA
"111","basketball","Albemarle Playground","Albermarle Rd., Dahill Rd. and McDonald Ave.","40.646","-73.9808","CLOSED",NA,NA,NA,NA,NA,NA
"112","basketball","Albert J. Parham Playground","Franklin Ave. between Willoughby and DeKalb Aves.","40.6905","-73.9709","CLOSED",NA,NA,NA,NA,NA,NA
"113","basketball","Albert Lysander Parham Playground","Adelphi St., Clermont, DeKalb and Willoughby Aves.","40.6905","-73.9709","CLOSED",NA,NA,NA,NA,NA,NA
"114","basketball","Alex Hamilton-Metz Memorial Field","Albany, East New York and Lefferts Aves.","40.6626","-73.9405","CLOSED",NA,NA,NA,NA,NA,NA
"115","basketball","Alex Lindower Park","Mill & Strickland Aves.","40.6131","-73.912","OPEN",NA,NA,NA,NA,NA,NA
"116","basketball","American Playground","Noble, Franklin & Milton Sts.","40.729","-73.9578","CLOSED",NA,NA,NA,NA,NA,NA
"117","basketball","Andries Playground","Ave. K & Nostrand Ave.","40.623","-73.9464","CLOSED",NA,NA,NA,NA,NA,NA
"118","basketball","Banneker Playground","Marcy Ave., Kosciusko St. and Lafayette Ave.","40.6903","-73.9494","CLOSED",NA,NA,NA,NA,NA,NA
"119","basketball","Bartlett Playground","Bartlett St. & Throop Ave.","40.7012","-73.946","CLOSED",NA,NA,NA,NA,NA,NA
"120","basketball","Bath Beach Playground","Shore Pkwy. & 17 Ave.","40.6024","-74.0107","CLOSED",NA,NA,NA,NA,NA,NA
"121","basketball","Bath Playground","Bath Ave. between 24 Ave. and Bay 37 St.","40.5946","-73.9936","CLOSED",NA,NA,NA,NA,NA,NA
"122","basketball","Bay View Houses & PS 272","S/JS Seaview Ave. Opposite E 99 St.","40.6348","-73.8871","CLOSED",NA,NA,NA,NA,NA,NA
"123","basketball","Bealin Square & Seth Low Playground","Ave. P., Bay Pkwy. and W 12 St.","40.6079","-73.9859","CLOSED",NA,NA,NA,NA,NA,NA
"124","basketball","Bedford Playground","Bedford Ave., S 9 St. and Division Ave.","40.7084","-73.9637","CLOSED",NA,NA,NA,NA,NA,NA
"125","basketball","Belmont Playground","Pitkin Ave., Drew St., Belmont Ave., and N Conduit Ave.","40.6757","-73.8629","CLOSED",NA,NA,NA,NA,NA,NA
"126","basketball","Benson Playground","Bath Ave. between Bay 22 and Bay 23 Sts.","40.6027","-74.0025","CLOSED",NA,NA,NA,NA,NA,NA
"127","basketball","Bensonhurst Park","Gravesend Bay, 21 Ave., Cropsey Ave. and Bay Pkwy.","40.5977","-74.0011","OPEN",NA,NA,NA,NA,NA,NA
"128","basketball","Bergen Beach Park","Ave. T, Ave. N, E 71 St. and E 72 St.","40.6226","-73.9095","CLOSED",NA,NA,NA,NA,NA,NA
"129","basketball","Berry Playground","S 3 St., Berry St. and Bedford Ave.","40.7126","-73.9637","CLOSED",NA,NA,NA,NA,NA,NA
"130","basketball","Betsy Head Memorial Playground","Livonia Ave., Dumont Ave., Hopkinson Ave., Blake Ave. and Strauss St.","40.6643","-73.9119","CLOSED",NA,NA,NA,NA,NA,NA
"131","basketball","Bildersee Playground","Flatlands Ave. between E 81 and E 82 St.","40.6354","-73.9117","CLOSED",NA,NA,NA,NA,NA,NA
"132","basketball","Brighton Playground","W/S Brighton 2 Sts. At Boardwalk","40.5751","-73.9657","CLOSED",NA,NA,NA,NA,NA,NA
"133","basketball","Brizzi Playground","42 St. & 10 to New Utrecht Aves.","40.6424","-73.9947","CLOSED",NA,NA,NA,NA,NA,NA
"134","basketball","Brower Park & PS 189","Brooklyn Ave., St. Mark's Ave., Kingston Ave. and Strauss St.","40.6735","-73.9442","CLOSED",NA,NA,NA,NA,NA,NA
"135","basketball","Brownsville Rec. Center & Playground","Linden Blvd. and Christopher Ave.","40.6568","-73.9014","CLOSED",NA,NA,NA,NA,NA,NA
"136","basketball","Bushwick Playground","Knickerbocker Ave., Putnam Ave. and Woodbine St.","40.7018","-73.9394","CLOSED",NA,NA,NA,NA,NA,NA
"137","basketball","Canarsie Park","Paedergat Basin and Seaview Ave.","40.6308","-73.8933","CLOSED",NA,NA,NA,NA,NA,NA
"138","basketball","Capt. V. Hickman Park/IS 78","Veterans Ave. between E 66 and E 68 Sts.","40.6204","-73.9135","CLOSED",NA,NA,NA,NA,NA,NA
"139","basketball","Carver Playground","Ralph Ave., Sumpter St., Howard Ave. and Marion St.","40.6805","-73.9207","CLOSED",NA,NA,NA,NA,NA,NA
"140","basketball","Century Playground","W Brighton Ave. between W 2 and W 3 Sts.","40.577","-73.97","CLOSED",NA,NA,NA,NA,NA,NA
"141","basketball","Chester Playground","Chester St., Sutter Ave., Bristol St. and Pitkin Ave.","40.6688","-73.9119","CLOSED",NA,NA,NA,NA,NA,NA
"142","basketball","City Line Park","Atlantic & Fountain Aves.","40.6789","-73.8746","CLOSED",NA,NA,NA,NA,NA,NA
"143","basketball","Col. David Marcus Memorial Playground","Ave. P & E 5 Sts.","40.6097","-73.9696","CLOSED",NA,NA,NA,NA,NA,NA
"144","basketball","Commodore Barry Park & Playground","Park Ave., Navy St., Flushing Ave. and N. Eliot Pl.","40.6978","-73.9791","CLOSED",NA,NA,NA,NA,NA,NA
"145","basketball","Cooper Park","Sharon St, Olive St., Maspeth Ave. and Morgan Ave.","40.7156","-73.9362","CLOSED",NA,NA,NA,NA,NA,NA
"146","basketball","Cypress Hills Houses Playground","Blake & Euclid Aves.","40.6702","-73.8711","CLOSED",NA,NA,NA,NA,NA,NA
"147","basketball","Dean Playground","Dean to Bergen Sts., between 6 and Carlton Aves.","40.681","-73.9734","CLOSED",NA,NA,NA,NA,NA,NA
"148","basketball","Decatur Playground","Decatur and MacDonough Sts., between Sumner and Lewis Aves.","40.6815","-73.9369","CLOSED",NA,NA,NA,NA,NA,NA
"149","basketball","DeKalb Playground/PS 270 Playground","Lafayette & Classon Aves.","40.6892","-73.9609","CLOSED",NA,NA,NA,NA,NA,NA
"150","basketball","Ditmas Playground/Railroad Playground","Ditmas Ave. between E 91 & E 92 Sts.","40.6495","-73.9143","CLOSED",NA,NA,NA,NA,NA,NA
"151","basketball","Dr. Martin Luther King, Jr. Park","Dumont Ave., Blake Ave., Miller Ave. and Bradford St.","40.6681","-73.8905","CLOSED",NA,NA,NA,NA,NA,NA
"152","basketball","Dr. Richard Greene Playground","Stone & Sutter Aves.","40.6674","-73.9066","CLOSED",NA,NA,NA,NA,NA,NA
"153","basketball","Dreier-Offerman Park","Gravesend Bay, Bay 44-Bay 49 Sts. and Shore Pkwy.","40.5876","-73.9905","CLOSED",NA,NA,NA,NA,NA,NA
"154","basketball","Dyker Beach Park","Shore Pkwy., 86 St. and 7 to 14 Aves.","40.6126","-74.0126","OPEN",NA,NA,NA,NA,NA,NA
"155","basketball","Patrick O&rsquo;Rourke Park","80 to 81 Sts. and 11 to 12 Aves.","40.6191","-74.0135","CLOSED",NA,NA,NA,NA,NA,NA
"156","basketball","Edmonds Playground","DeKalb Ave., Adelphi St., and Carlton Ave.","40.6892","-73.9712","CLOSED",NA,NA,NA,NA,NA,NA
"157","basketball","Edward C. Blum Playground/PS 46","Adelphi & Myrtle Aves.","40.6938","-73.9712","CLOSED",NA,NA,NA,NA,NA,NA
"158","basketball","Eleanor Roosevelt Playground","Lewis Ave., DeKalb Ave., Stuyvesant Ave. and Kosciusko St.","40.6927","-73.9357","CLOSED",NA,NA,NA,NA,NA,NA
"159","basketball","El-Shabazz Playground","Reid Ave., Malcolm X Blvd. and MacDonough St.","40.6828","-73.9304","CLOSED",NA,NA,NA,NA,NA,NA
"160","basketball","Ethan Allen Park","Cozine Ave. Vermont St. and New Jersey Ave.","40.6555","-73.8871","CLOSED",NA,NA,NA,NA,NA,NA
"161","basketball","Eugenio Maria De Hostos Playground","Harrison Ave., Walton to Lorimer Sts. and Throop Ave.","40.7028","-73.9497","CLOSED",NA,NA,NA,NA,NA,NA
"162","basketball","Evergreen Playground","Evergreen Ave., Decatur St. and Schaefer St.","40.6863","-73.9107","CLOSED",NA,NA,NA,NA,NA,NA
"163","basketball","Fermi Playground","Troutman St., Central Ave., Starr St. and Wilson Ave.","40.7007","-73.9284","CLOSED",NA,NA,NA,NA,NA,NA
"164","basketball","Fish Playground","Saratoga Ave. between Herkimer and Fulton Sts.","40.6781","-73.9147","CLOSED",NA,NA,NA,NA,NA,NA
"165","basketball","Fort Greene Park","Myrtle Ave., Cumberland St. and DeKalb Ave.","40.6927","-73.9773","CLOSED",NA,NA,NA,NA,NA,NA
"166","basketball","Fox Memorial Park/PS 251 Playground","Ave. H, Ave. I and E 54 to E 55 Sts.","40.6324","-73.9236","CLOSED",NA,NA,NA,NA,NA,NA
"167","basketball","Frances Hamburger Sternberg Park","Montrose Ave., Boerum St., Lorimer St. and Leonard St.","40.7057","-73.9475","CLOSED",NA,NA,NA,NA,NA,NA
"168","basketball","Garden Playground","Flushing Ave., Beaver St. and Garden St.","40.7012","-73.9381","CLOSED",NA,NA,NA,NA,NA,NA
"169","basketball","George Wingate HS Playground","SE Corner Brooklyn Ave. & Rutland Rd.","40.6591","-73.9442","CLOSED",NA,NA,NA,NA,NA,NA
"170","basketball","Glenwood Houses Playground","Ralph Ave. & Farragut Rd.","40.6365","-73.9199","CLOSED",NA,NA,NA,NA,NA,NA
"171","basketball","Golconda Playground","E/S Gold St. and Nassau to Concord Sts.","40.6977","-73.9828","CLOSED",NA,NA,NA,NA,NA,NA
"172","basketball","Gowanus Houses Playground","Hoyt, Wyckoff and Bond Sts.","40.6844","-73.9876","CLOSED",NA,NA,NA,NA,NA,NA
"173","basketball","Grace Playground","Belmont Ave., Pitkin Ave., Vermont St. and New Jersey St.","40.671","-73.8951","CLOSED",NA,NA,NA,NA,NA,NA
"174","basketball","Gravesend Park","18 Ave. Near 57 St.","40.6235","-73.9848","CLOSED",NA,NA,NA,NA,NA,NA
"175","basketball","Greene Playground/PS 11 Playground","Greene Ave. between Waverly and Washington Aves.","40.6865","-73.9661","CLOSED",NA,NA,NA,NA,NA,NA
"176","basketball","Harry Maze Memorial Park","Ave. D bet. E 56 & E 57 Sts.","40.6433","-73.9231","CLOSED",NA,NA,NA,NA,NA,NA
"177","basketball","Hattie Carthan Playground","Monroe St., Tompkins Ave., Madison St. and Marcy Ave.","40.6858","-73.9461","CLOSED",NA,NA,NA,NA,NA,NA
"178","basketball","Herman Dolgon Playground","Ave. V, Nostrand St. and Batchelder St.","40.5982","-73.9406","CLOSED",NA,NA,NA,NA,NA,NA
"179","basketball","Homecrest Playground","Shore Pkwy. To Williams Ct. and E 12 St.","40.586","-73.957","CLOSED",NA,NA,NA,NA,NA,NA
"180","basketball","Houston Playground","Powell St., Liberty Ave., Sackman St. and Glenmore Ave.","40.6721","-73.9053","CLOSED",NA,NA,NA,NA,NA,NA
"181","basketball","Howard Houses Playground & Pool","Glenmore & Mother Gaston Blvd.","40.6718","-73.9084","CLOSED",NA,NA,NA,NA,NA,NA
"182","basketball","IS 302 (Sperandeo Brothers)","Atlantic Ave. between Elton and Linwood Sts.","40.6763","-73.8844","CLOSED",NA,NA,NA,NA,NA,NA
"183","basketball","Israel Putnam Playground","Sumner Ave. and Madison to Monroe Sts.","40.6865","-73.9399","CLOSED",NA,NA,NA,NA,NA,NA
"184","basketball","J Playground","Ave. J, Ave. K, 103 St. and 104 Sts.","40.6442","-73.893","CLOSED",NA,NA,NA,NA,NA,NA
"185","basketball","J.J. Byrne Memorial Park/JHS 51","3 to 4 Sts. and 4 to 5 Aves.","40.6728","-73.9842","CLOSED",NA,NA,NA,NA,NA,NA
"186","basketball","Jackie Robinson Park","Chauncey St. E/O Reid Ave.","40.68","-73.9277","CLOSED",NA,NA,NA,NA,NA,NA
"187","basketball","Jackie Robinson Playground","Sullivan Pl., Franklin Ave. and Montgomery St.","40.6657","-73.9592","CLOSED",NA,NA,NA,NA,NA,NA
"188","basketball","Jacob Joffe Park","Ave. K between E 58 and E 59 Sts.","40.625","-73.9194","CLOSED",NA,NA,NA,NA,NA,NA
"189","basketball","James Marshall Power Playground","Ave. N & Utica Ave.","40.6183","-73.9276","CLOSED",NA,NA,NA,NA,NA,NA
"190","basketball","Jerome Playground","Wortman Ave. & Warwick St.","40.6591","-73.8796","CLOSED",NA,NA,NA,NA,NA,NA
